Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted,Weighted Score,Adoption Probability
Winnie,Kitten,Brown and White Tabby,Female,4,3,3,5,3,Yes,1.9000000000000001,63.89
Vikki,Mature Adult,Tortoiseshell,Female,4,3,4,5,2,Yes,1.9000000000000001,63.89
Sasha,Kitten,Silver Tabby,Female,4,4,4,3,5,No,0.7999999999999998,33.33
Sylvester,Mature Adult,Gray and White,Male,5,5,4,4,3,Yes,1.4999999999999998,52.78
Murphy,Kitten,Fawn,Female,4,4,4,3,5,No,0.7999999999999998,33.33
Misty,Mature Adult,Chocolate and White,Female,4,3,3,3,6,No,0.9999999999999998,38.89
Matcha,Kitten,Chocolate,Female,3,5,3,4,3,No,0.8,33.33
Molly,Mature Adult,Cinnamon,Female,5,4,6,5,3,Yes,1.7999999999999996,61.11
Kasumi,Mature Adult,Lilac Tortoiseshell,Female,4,6,2,4,3,No,1.0999999999999999,41.67
Wrex,Kitten,Gray Tabby,Male,4,2,5,5,6,Yes,1.6,55.56
Jerry,Senior,Gray and White,Male,5,5,5,5,4,Yes,1.6,55.56
Ruby,Senior,Gray and White Tabby,Female,5,4,3,6,3,Yes,2.3999999999999995,77.78
Avi,Mature Adult,Orange,Male,4,4,3,5,4,Yes,1.6,55.56
Delphi,Young Adult,Dilute Torbie,Female,4,3,3,5,2,Yes,2.0,66.67
Arwen,Kitten,Tortoiseshell,Female,5,3,5,5,5,Yes,1.9,63.89
Tiger,Senior,Chocolate,Male,5,6,5,5,6,No,1.1999999999999997,44.44
Buccatini,Senior,Red Tabby,Male,5,4,4,5,4,Yes,1.9,63.89
Sierra,Mature Adult,Orange and White,Female,4,4,3,5,3,Yes,1.7,58.33
Tali,Mature Adult,Orange and White,Female,4,3,3,4,6,No,1.2999999999999998,47.22
Kitty,Mature Adult,Gray and White Tabby,Female,4,4,4,3,5,No,0.7999999999999998,33.33
Latte,Kitten,Fawn,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Zoe,Kitten,Torbie,Female,4,4,3,3,5,No,0.8999999999999999,36.11
Jinx,Young Adult,Torbie,Female,3,3,2,5,3,Yes,1.6,55.56
Aurora,Kitten,Lilac,Female,5,5,5,5,4,Yes,1.6,55.56
Charlie,Young Adult,Silver Tabby,Male,4,4,4,5,4,Yes,1.5,52.78
Chai,Young Adult,Red,Female,4,5,4,4,5,No,0.8999999999999999,36.11
Stella,Mature Adult,Chocolate and White,Female,5,4,4,4,4,Yes,1.6,55.56
Waffles,Mature Adult,Gray,Male,4,4,3,5,5,Yes,1.5,52.78
Marshmallow,Senior,Cinnamon,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Jasnah,Senior,Calico,Female,3,2,2,4,4,Yes,1.4,50.0
Merlin,Senior,Cream Tabby,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Millie,Kitten,Cream Tabby,Female,4,3,2,5,2,Yes,2.0999999999999996,69.44
Zeke,Young Adult,Gray,Male,4,3,2,5,2,Yes,2.0999999999999996,69.44
Rico,Senior,Gray and White,Male,4,4,3,4,4,No,1.2999999999999998,47.22
Sophie,Kitten,Gray and White,Female,4,4,4,3,4,No,0.8999999999999998,36.11
Buttercup,Young Adult,Orange and White,Female,4,4,4,3,5,No,0.7999999999999998,33.33
Clawdia,Kitten,Black,Female,4,2,2,4,4,Yes,1.8000000000000003,61.11
Lily,Senior,Black and White,Female,5,5,2,5,5,Yes,1.7999999999999998,61.11
Dalinar,Senior,Cream Tabby,Male,4,4,3,4,5,No,1.2,44.44
Maddy,Kitten,Red Tabby,Female,5,4,5,5,4,Yes,1.8000000000000003,61.11
Chester,Young Adult,Red Tabby,Male,5,3,3,6,2,Yes,2.6999999999999993,86.11
Liara,Kitten,White,Female,4,3,3,5,2,Yes,2.0,66.67
Lily,Mature Adult,Orange and White,Female,4,4,5,5,3,Yes,1.5,52.78
Natasha,Kitten,Orange,Female,4,4,4,3,3,No,0.9999999999999998,38.89
Patch,Senior,Chocolate and White,Male,4,3,2,5,3,Yes,1.9999999999999998,66.67
Nala,Kitten,Dilute Torbie,Female,4,3,1,5,5,Yes,1.9,63.89
Jinxy,Mature Adult,Chocolate,Female,5,6,6,5,3,Yes,1.3999999999999997,50.0
Peaches,Senior,Gray Tabby,Female,5,3,4,5,2,Yes,2.3,75.0
Portia,Young Adult,Silver Tabby,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Gimli,Kitten,Chocolate and White,Male,5,6,4,5,3,Yes,1.5999999999999999,55.56
Cleocatra,Mature Adult,Red,Female,3,5,5,3,5,No,0.10000000000000009,13.89
Biscuit,Kitten,Chocolate Tabby,Male,4,3,4,5,3,Yes,1.8,61.11
Alfred,Young Adult,Gray and White Tabby,Male,5,4,4,5,3,Yes,1.9999999999999998,66.67
Alfred,Kitten,Chocolate,Male,4,4,3,4,3,Yes,1.4,50.0
Sushi,Young Adult,Cream Tabby,Male,4,2,3,4,5,Yes,1.6,55.56
Loki,Mature Adult,Silver Tabby,Male,5,6,4,5,3,Yes,1.5999999999999999,55.56
Marshmallow,Senior,White,Male,5,5,5,5,3,Yes,1.7,58.33
Penny,Mature Adult,Gray and White,Female,4,3,2,4,5,Yes,1.5,52.78
Jasper,Mature Adult,Brown and White Tabby,Male,4,3,3,4,4,Yes,1.5,52.78
Figaro,Senior,Cream,Male,4,5,3,4,5,No,1.0,38.89
Tater,Kitten,Gray and White,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Aloy,Kitten,Chocolate Tabby,Female,4,3,4,6,2,Yes,2.1999999999999997,72.22
Ruby,Senior,Cream Tabby,Female,4,6,4,5,2,No,1.3,47.22
Atlas,Mature Adult,Chocolate,Male,5,4,4,5,3,Yes,1.9999999999999998,66.67
Snickers,Senior,Fawn,Female,5,3,4,5,3,Yes,2.2,72.22
Cullen,Senior,Silver Tabby,Male,3,3,4,3,6,No,0.5,25.0
Kaladin,Kitten,Lilac,Male,5,2,5,5,4,Yes,2.2,72.22
Jasmine,Young Adult,White,Female,5,3,3,6,3,Yes,2.5999999999999996,83.33
Catsanova,Senior,Gray and White Tabby,Male,5,4,4,5,3,Yes,1.9999999999999998,66.67
Freya,Mature Adult,Orange and White,Female,2,6,4,3,5,No,-0.40000000000000024,0.0
Aloy,Young Adult,Gray Tabby,Female,4,4,4,4,5,No,1.1,41.67
Mufasa,Young Adult,Lilac,Male,5,5,5,4,3,Yes,1.4,50.0
Nibbler,Senior,Chocolate and White,Male,5,6,3,3,5,No,0.8999999999999997,36.11
Tasha,Kitten,Black,Female,5,3,5,5,3,Yes,2.0999999999999996,69.44
Peanut,Kitten,Cinnamon,Male,4,3,3,4,4,Yes,1.5,52.78
George,Senior,Black and White,Male,4,3,3,4,4,Yes,1.5,52.78
Ozzy,Young Adult,Orange,Male,5,3,6,4,4,Yes,1.5999999999999996,55.56
Kiwi,Mature Adult,Calico,Female,4,4,3,5,3,Yes,1.7,58.33
Nola,Kitten,White,Female,4,5,3,5,3,Yes,1.5,52.78
Kaladin,Young Adult,Fawn,Male,3,2,3,4,5,No,1.2000000000000002,44.44
Buttercup,Kitten,Black,Female,4,6,5,4,4,No,0.6999999999999998,30.56
Jinx,Kitten,Gray Tabby,Female,5,3,5,5,3,Yes,2.0999999999999996,69.44
Portia,Senior,Tortoiseshell,Female,4,4,3,4,4,No,1.2999999999999998,47.22
Nola,Young Adult,Calico,Female,5,5,3,6,4,Yes,2.1,69.44
Celeste,Mature Adult,Fawn,Female,4,3,3,4,4,Yes,1.5,52.78
Anders,Senior,Black and White,Male,5,4,3,5,4,Yes,2.0,66.67
Reptar,Senior,White,Male,4,4,3,3,5,No,0.8999999999999999,36.11
Neptune,Kitten,Gray and White Tabby,Male,5,5,3,6,3,Yes,2.2,72.22
Sylvanas,Senior,Gray and White Tabby,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Cordelia,Young Adult,Chocolate Tabby,Female,5,3,6,5,4,Yes,1.9,63.89
Zeke,Mature Adult,Red,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Nila,Mature Adult,Black and White,Female,4,3,4,5,3,Yes,1.8,61.11
Ozzy,Kitten,Gray,Male,4,3,5,5,5,Yes,1.5,52.78
Felix,Senior,Black,Male,4,3,3,6,2,Yes,2.3,75.0
Dante,Senior,Gray,Male,4,4,3,5,5,Yes,1.5,52.78
Nola,Mature Adult,Gray,Female,4,3,3,4,3,Yes,1.5999999999999999,55.56
Molly,Young Adult,Torbie,Female,4,4,3,5,3,Yes,1.7,58.33
Ziggy,Young Adult,Silver Tabby,Male,4,4,3,4,2,Yes,1.5,52.78
Mittens,Mature Adult,Red,Male,4,3,2,5,3,Yes,1.9999999999999998,66.67
Merlin,Kitten,Red Tabby,Male,5,4,4,6,4,Yes,2.1999999999999997,72.22
Hunter,Young Adult,Black,Male,5,5,3,5,2,Yes,2.0,66.67
Vesper,Mature Adult,Black and White,Female,5,4,5,5,3,Yes,1.9000000000000001,63.89
Sylvanas,Senior,Dilute Calico,Female,5,4,6,5,4,Yes,1.6999999999999997,58.33
Nibbler,Young Adult,Cream,Male,4,5,3,4,3,No,1.2,44.44
Clawde,Senior,Brown and White Tabby,Male,4,3,2,5,3,Yes,1.9999999999999998,66.67
Duchess,Young Adult,Orange and White,Female,5,5,5,4,5,No,1.2,44.44
Mischief,Young Adult,Torbie,Female,4,3,3,3,3,No,1.2999999999999998,47.22
Jerry,Young Adult,Orange,Male,4,3,2,5,3,Yes,1.9999999999999998,66.67
Maximus,Mature Adult,Orange,Male,4,5,3,4,4,No,1.1,41.67
Mordin,Senior,Black,Male,3,3,3,4,4,No,1.1,41.67
Liara,Kitten,Red,Female,4,3,4,5,4,Yes,1.7000000000000002,58.33
Winter,Mature Adult,Dilute Tortoiseshell,Female,5,4,3,6,3,Yes,2.3999999999999995,77.78
Rogue,Young Adult,Silver Tabby,Female,5,5,4,4,4,Yes,1.4,50.0
Bagel,Kitten,Cream,Male,5,6,5,4,5,No,0.9999999999999998,38.89
Lenny,Young Adult,Cream,Male,5,6,5,4,3,No,1.1999999999999997,44.44
Delfina,Kitten,Chocolate,Female,5,4,4,4,5,Yes,1.5,52.78
Flemeth,Young Adult,Dilute Tortoiseshell,Female,5,5,3,5,4,Yes,1.8000000000000003,61.11
Clyde,Senior,Brown and White Tabby,Male,5,4,4,5,4,Yes,1.9,63.89
Lilo,Senior,Black,Female,4,6,4,4,5,No,0.6999999999999997,30.56
Callie,Kitten,Dilute Calico,Female,4,3,4,4,5,No,1.2999999999999998,47.22
Dorian,Senior,Chocolate Tabby,Male,4,5,2,4,4,No,1.2000000000000002,44.44
Gypsy,Senior,Cream,Female,3,4,2,4,4,No,1.0,38.89
Finn,Mature Adult,White,Male,3,3,2,5,3,Yes,1.6,55.56
Avi,Mature Adult,Gray and White,Male,4,3,2,3,5,No,1.2,44.44
Nibbler,Kitten,Chocolate and White,Male,4,4,6,5,3,Yes,1.4,50.0
Hunter,Mature Adult,Brown and White Tabby,Male,5,4,4,4,4,Yes,1.6,55.56
Waffles,Mature Adult,Black and White,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Zeke,Kitten,Cream Tabby,Male,4,3,3,4,5,Yes,1.4,50.0
Nacho,Kitten,Gray,Male,4,4,5,5,3,Yes,1.5,52.78
Chai,Young Adult,Orange,Female,4,4,2,3,4,No,1.1,41.67
Cash,Young Adult,Gray and White,Male,5,3,4,6,2,Yes,2.5999999999999996,83.33
Cas,Young Adult,Silver Tabby,Male,4,4,4,4,2,Yes,1.4000000000000001,50.0
Piper,Kitten,Lilac Tortoiseshell,Female,3,4,2,6,2,Yes,1.8,61.11
Buttercup,Mature Adult,Cream Tabby,Female,5,3,5,5,4,Yes,2.0,66.67
Clawdia,Kitten,Gray Tabby,Female,5,5,3,3,5,No,1.0999999999999999,41.67
Cricket,Kitten,Gray and White,Male,5,4,5,5,2,Yes,2.0,66.67
Darla,Senior,Silver Tabby,Female,3,3,2,5,5,Yes,1.4000000000000001,50.0
Fiddler,Young Adult,Cinnamon,Male,4,6,3,5,4,No,1.1999999999999997,44.44
Cash,Kitten,Fawn,Male,3,5,3,6,3,Yes,1.4,50.0
Sprinkles,Kitten,White,Male,4,3,3,6,2,Yes,2.3,75.0
Merlin,Senior,Red Tabby,Male,4,5,5,4,3,No,1.0,38.89
Maisy,Senior,Dilute Calico,Female,4,3,3,5,2,Yes,2.0,66.67
Bast,Young Adult,Red,Female,5,6,4,6,5,Yes,1.6999999999999997,58.33
Axel,Senior,Chocolate and White,Male,5,5,5,5,4,Yes,1.6,55.56
Stitch,Mature Adult,Gray and White,Male,5,4,5,4,6,No,1.2999999999999998,47.22
Norbert,Kitten,White,Male,4,4,2,4,5,No,1.3,47.22
Agnes,Mature Adult,Lilac,Female,5,5,4,5,3,Yes,1.8,61.11
Charlie,Young Adult,Fawn,Male,5,4,3,4,6,Yes,1.4999999999999996,52.78
Jerry,Mature Adult,Chocolate Tabby,Male,4,6,6,4,4,No,0.5999999999999998,27.78
Winter,Senior,Orange,Female,3,6,4,4,3,No,0.4999999999999999,25.0
Callie,Mature Adult,Cream,Female,5,3,3,5,4,Yes,2.1999999999999997,72.22
Gimli,Senior,Cream Tabby,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Avery,Mature Adult,Dilute Tortoiseshell,Female,4,4,4,2,6,No,0.3999999999999999,22.22
Minerva,Young Adult,Dilute Torbie,Female,5,3,4,3,5,Yes,1.4,50.0
Kaladin,Mature Adult,Orange,Male,5,5,2,6,3,Yes,2.3,75.0
Murphy,Kitten,Black and White,Female,4,5,3,3,5,No,0.7,30.56
Nemo,Young Adult,Black,Male,5,5,5,4,4,No,1.2999999999999998,47.22
Jasmine,Senior,Dilute Torbie,Female,4,4,3,6,2,Yes,2.0999999999999996,69.44
Basil,Young Adult,Gray,Male,4,4,2,5,4,Yes,1.7000000000000002,58.33
Zevran,Mature Adult,Chocolate Tabby,Male,4,5,3,6,3,Yes,1.7999999999999996,61.11
Zeke,Young Adult,Black,Male,5,5,5,4,5,No,1.2,44.44
Poppy,Mature Adult,Black,Female,4,3,3,5,4,Yes,1.8000000000000003,61.11
Spike,Senior,White,Male,5,4,3,4,4,Yes,1.6999999999999997,58.33
Minerva,Kitten,Lilac,Female,3,4,3,5,3,No,1.3,47.22
Nemo,Young Adult,Silver Tabby,Male,5,5,4,4,4,Yes,1.4,50.0
Spike,Kitten,Orange and White,Male,3,3,4,5,4,No,1.3000000000000003,47.22
Sprinkles,Senior,Calico,Female,2,3,2,5,1,Yes,1.4,50.0
Scout,Young Adult,Brown and White Tabby,Male,5,4,5,6,3,Yes,2.2,72.22
Rick,Young Adult,White,Male,4,4,3,6,3,Yes,1.9999999999999998,66.67
Lilo,Mature Adult,Gray Tabby,Female,5,5,4,5,4,Yes,1.7000000000000002,58.33
Frodo,Senior,Cinnamon,Male,5,4,4,4,4,Yes,1.6,55.56
Biscuit,Mature Adult,Orange,Male,4,4,4,4,5,No,1.1,41.67
Ozzy,Mature Adult,White,Male,5,4,4,5,4,Yes,1.9,63.89
Dalinar,Senior,Gray,Male,4,3,3,4,4,Yes,1.5,52.78
Murphy,Kitten,Cream,Female,4,4,4,5,4,Yes,1.5,52.78
Dora,Mature Adult,Lilac Tortoiseshell,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Beau,Senior,Black and White,Male,4,3,2,4,4,Yes,1.6,55.56
Muffin,Mature Adult,Lilac,Female,4,3,4,4,5,No,1.2999999999999998,47.22
Nacho,Kitten,Red Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Bast,Senior,Chocolate Tabby,Female,5,4,3,5,5,Yes,1.9,63.89
Binx,Mature Adult,Brown and White Tabby,Male,5,5,4,5,4,Yes,1.7000000000000002,58.33
Tater,Young Adult,Cinnamon,Male,4,5,4,4,4,No,0.9999999999999999,38.89
Shadow,Kitten,Gray Tabby,Male,4,3,2,4,6,Yes,1.4,50.0
Catsanova,Mature Adult,Orange and White,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Binx,Mature Adult,Chocolate Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Romeo,Mature Adult,White,Male,4,3,3,5,4,Yes,1.8000000000000003,61.11
Flemeth,Mature Adult,Black and White,Female,5,4,3,5,3,Yes,2.0999999999999996,69.44
Adolin,Senior,Gray Tabby,Male,4,5,4,4,3,No,1.0999999999999999,41.67
Jasmine,Young Adult,Red Tabby,Female,4,5,4,5,4,No,1.3000000000000003,47.22
Figaro,Senior,White,Male,4,4,3,6,3,Yes,1.9999999999999998,66.67
Bailey,Senior,Red,Female,5,4,5,4,4,Yes,1.5,52.78
Rosie,Young Adult,Gray and White Tabby,Female,5,5,5,4,4,No,1.2999999999999998,47.22
Portia,Senior,Fawn,Female,4,5,3,5,3,Yes,1.5,52.78
Adolin,Mature Adult,Cinnamon,Male,4,3,5,3,5,No,0.8999999999999999,36.11
Hunter,Mature Adult,Gray,Male,4,4,4,4,3,No,1.3,47.22
Ruby,Young Adult,Chocolate and White,Female,4,3,3,4,5,Yes,1.4,50.0
Neil,Kitten,Orange,Male,5,4,4,4,3,Yes,1.7,58.33
Blossom,Senior,Gray,Female,3,3,3,5,2,Yes,1.6,55.56
Nico,Young Adult,Orange,Male,4,3,5,5,5,Yes,1.5,52.78
Anna,Young Adult,Chocolate,Female,4,4,3,4,3,Yes,1.4,50.0
Matcha,Senior,Gray,Female,4,3,2,5,2,Yes,2.0999999999999996,69.44
Lucifer,Kitten,Cream,Male,3,2,3,4,5,No,1.2000000000000002,44.44
Rasha,Young Adult,Orange,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Felix,Young Adult,Gray Tabby,Male,4,5,4,4,3,No,1.0999999999999999,41.67
Flemeth,Mature Adult,Silver Tabby,Female,5,3,5,5,4,Yes,2.0,66.67
Nova,Mature Adult,Dilute Tortoiseshell,Female,4,4,3,4,4,No,1.2999999999999998,47.22
Dante,Senior,Gray and White,Male,4,3,3,4,4,Yes,1.5,52.78
Kimchi,Kitten,Brown and White Tabby,Male,4,3,3,4,4,Yes,1.5,52.78
Murphy,Kitten,Red,Male,4,3,4,5,3,Yes,1.8,61.11
Jasmine,Kitten,Gray Tabby,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Biscuit,Mature Adult,Black,Male,4,5,4,4,5,No,0.8999999999999999,36.11
Athena,Senior,Fawn,Female,5,4,4,4,5,Yes,1.5,52.78
Betsy,Young Adult,Gray and White,Female,5,5,4,5,4,Yes,1.7000000000000002,58.33
Sylvester,Senior,Lilac,Male,4,5,2,4,4,No,1.2000000000000002,44.44
Atticus,Kitten,Cream,Male,5,5,3,4,5,Yes,1.4,50.0
Tawny,Young Adult,Gray and White,Female,5,4,6,4,5,No,1.2999999999999998,47.22
Maddy,Mature Adult,Silver Tabby,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Merlin,Senior,Lilac,Male,4,3,3,4,3,Yes,1.5999999999999999,55.56
Avi,Mature Adult,Silver Tabby,Male,5,5,3,5,3,Yes,1.9000000000000001,63.89
Gabe,Mature Adult,Chocolate and White,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Gabe,Young Adult,Fawn,Male,5,3,3,5,4,Yes,2.1999999999999997,72.22
Wit,Mature Adult,Chocolate,Male,3,5,2,3,6,No,0.30000000000000004,19.44
Nyxi,Young Adult,Cinnamon,Female,5,5,3,5,5,Yes,1.7000000000000002,58.33
Misty,Kitten,Calico,Female,3,4,6,2,6,No,-0.20000000000000007,5.56
Sophie,Mature Adult,Chocolate and White,Female,5,6,4,2,3,No,0.6999999999999997,30.56
Katrina,Young Adult,Brown and White Tabby,Female,4,5,4,4,4,No,0.9999999999999999,38.89
August,Mature Adult,Black and White,Male,4,4,4,4,3,No,1.3,47.22
Salem,Mature Adult,Fawn,Male,4,2,2,4,4,Yes,1.8000000000000003,61.11
Clyde,Young Adult,Gray Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Jasnah,Mature Adult,Gray,Female,4,3,3,4,3,Yes,1.5999999999999999,55.56
Molly,Mature Adult,Orange,Female,5,4,5,4,4,Yes,1.5,52.78
Rogue,Senior,Brown and White Tabby,Male,4,4,4,4,5,No,1.1,41.67
Chestnut,Senior,Chocolate and White,Male,4,4,4,4,5,No,1.1,41.67
Nyxi,Mature Adult,Gray Tabby,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Maddy,Young Adult,Black,Female,4,2,2,5,6,Yes,1.9,63.89
Cooper,Kitten,Fawn,Male,5,4,5,5,2,Yes,2.0,66.67
Catsanova,Young Adult,Cream,Male,4,3,2,5,4,Yes,1.9,63.89
Agatha,Kitten,Cinnamon,Female,5,4,3,3,5,No,1.2999999999999998,47.22
Nacho,Kitten,Chocolate,Male,4,3,3,3,4,No,1.1999999999999997,44.44
Nibbler,Senior,Chocolate and White,Male,4,4,3,4,2,Yes,1.5,52.78
Neil,Senior,Brown and White Tabby,Male,4,4,3,4,4,No,1.2999999999999998,47.22
Peaches,Mature Adult,White,Female,4,4,6,5,3,Yes,1.4,50.0
Anna,Kitten,White,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Calypso,Kitten,Gray and White Tabby,Female,4,5,3,3,5,No,0.7,30.56
Calliope,Kitten,Lilac Tortoiseshell,Female,5,4,2,4,5,Yes,1.7000000000000002,58.33
Nila,Senior,White,Female,5,5,5,5,3,Yes,1.7,58.33
Callie,Mature Adult,Dilute Calico,Female,4,5,4,4,5,No,0.8999999999999999,36.11
Delfina,Senior,Torbie,Female,5,4,3,5,3,Yes,2.0999999999999996,69.44
Zevran,Young Adult,Gray,Male,4,4,3,4,4,No,1.2999999999999998,47.22
Jerry,Senior,Chocolate Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Austin,Mature Adult,Cream,Male,4,2,5,4,4,Yes,1.5,52.78
Cosmo,Mature Adult,Black and White,Male,4,3,4,5,2,Yes,1.9000000000000001,63.89
Donut,Mature Adult,Gray and White,Male,5,2,4,4,4,Yes,2.0000000000000004,66.67
Tiger,Kitten,Silver Tabby,Male,5,3,4,5,2,Yes,2.3,75.0
Leo,Mature Adult,Brown and White Tabby,Male,4,5,4,5,4,No,1.3000000000000003,47.22
Sheba,Mature Adult,Chocolate Tabby,Female,4,4,4,3,3,No,0.9999999999999998,38.89
Wanda,Kitten,Dilute Torbie,Female,5,5,4,4,3,Yes,1.4999999999999998,52.78
Sprinkles,Senior,Silver Tabby,Male,4,5,3,5,3,Yes,1.5,52.78
Binx,Senior,Red Tabby,Male,5,4,2,5,3,Yes,2.2,72.22
Anna,Senior,Gray and White Tabby,Female,4,4,3,4,4,No,1.2999999999999998,47.22
Jerry,Senior,Chocolate and White,Male,4,3,4,5,3,Yes,1.8,61.11
Linguine,Young Adult,Red,Male,5,4,4,5,4,Yes,1.9,63.89
Morrigan,Mature Adult,Dilute Tortoiseshell,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Cielo,Mature Adult,Red,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Anna,Kitten,Cinnamon,Female,5,4,4,4,5,Yes,1.5,52.78
Binx,Kitten,Orange,Male,4,3,2,5,2,Yes,2.0999999999999996,69.44
Marshmallow,Young Adult,Gray Tabby,Female,5,4,3,4,4,Yes,1.6999999999999997,58.33
Pumpkin,Young Adult,Chocolate,Female,4,4,4,5,4,Yes,1.5,52.78
Peanut,Mature Adult,Fawn,Female,5,5,5,4,4,No,1.2999999999999998,47.22
Figaro,Senior,Brown and White Tabby,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Vikki,Senior,Fawn,Female,4,3,3,4,5,Yes,1.4,50.0
Atticus,Young Adult,Gray and White Tabby,Male,4,5,4,5,4,No,1.3000000000000003,47.22
Orion,Mature Adult,Chocolate Tabby,Male,5,3,3,5,2,Yes,2.3999999999999995,77.78
Ash,Kitten,Brown and White Tabby,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Alfred,Mature Adult,Cinnamon,Male,4,3,5,4,5,No,1.2,44.44
Pumpkin,Mature Adult,Silver Tabby,Female,5,5,4,5,4,Yes,1.7000000000000002,58.33
Sophie,Senior,Black and White,Female,5,3,5,4,3,Yes,1.7999999999999996,61.11
Matty,Kitten,Chocolate and White,Male,5,4,5,5,4,Yes,1.8000000000000003,61.11
Spike,Young Adult,Chocolate Tabby,Male,5,4,4,4,4,Yes,1.6,55.56
Pancake,Mature Adult,Gray and White Tabby,Female,4,5,2,3,4,No,0.9,36.11
August,Mature Adult,Lilac,Male,4,4,4,4,5,No,1.1,41.67
Callie,Kitten,Calico,Female,4,5,4,4,3,No,1.0999999999999999,41.67
Chestnut,Mature Adult,Chocolate Tabby,Male,3,3,3,5,2,Yes,1.6,55.56
Hendrix,Young Adult,Black,Male,5,3,4,6,2,Yes,2.5999999999999996,83.33
Rosie,Kitten,Tortoiseshell,Female,4,2,3,4,2,Yes,1.9000000000000001,63.89
Axel,Kitten,Gray Tabby,Male,5,4,3,5,3,Yes,2.0999999999999996,69.44
Delphi,Senior,Black,Female,5,4,4,4,3,Yes,1.7,58.33
Shadow,Mature Adult,Red,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Reptar,Kitten,Orange,Male,4,3,3,4,3,Yes,1.5999999999999999,55.56
Hunter,Kitten,Black,Male,4,3,3,6,2,Yes,2.3,75.0
Bitsy,Mature Adult,Tortoiseshell,Female,5,5,5,5,3,Yes,1.7,58.33
Lucky,Senior,Lilac,Male,4,4,5,3,5,No,0.7,30.56
Dante,Kitten,Chocolate,Male,5,4,4,5,4,Yes,1.9,63.89
Fergus,Young Adult,Gray and White Tabby,Male,4,5,2,5,4,Yes,1.5,52.78
Fritz,Senior,Red,Male,5,5,3,5,3,Yes,1.9000000000000001,63.89
Mochi,Young Adult,Chocolate and White,Female,4,4,3,4,3,Yes,1.4,50.0
Stella,Senior,Lilac Tortoiseshell,Female,4,4,3,5,3,Yes,1.7,58.33
Latte,Senior,Silver Tabby,Male,5,5,4,4,3,Yes,1.4999999999999998,52.78
Suki,Young Adult,Orange and White,Female,4,3,3,5,3,Yes,1.9000000000000001,63.89
Furman,Senior,White,Male,4,6,6,4,3,No,0.6999999999999997,30.56
Tater,Mature Adult,Cream Tabby,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Ash,Kitten,Chocolate,Male,5,4,3,3,4,Yes,1.4,50.0
Chai,Kitten,Lilac Tortoiseshell,Female,4,4,5,4,5,No,1.0,38.89
Gilly,Young Adult,Calico,Female,4,3,3,4,3,Yes,1.5999999999999999,55.56
Bella,Senior,Gray Tabby,Female,4,4,5,4,3,No,1.2,44.44
Marshmallow,Young Adult,Cinnamon,Female,6,3,3,5,2,Yes,2.8,88.89
Aloy,Kitten,Gray Tabby,Female,5,4,4,4,4,Yes,1.6,55.56
Nikki,Senior,Silver Tabby,Female,4,4,2,3,4,No,1.1,41.67
Gilly,Young Adult,Brown and White Tabby,Female,5,4,3,4,5,Yes,1.5999999999999996,55.56
Jasnah,Senior,Cream,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Princess,Young Adult,Orange,Female,4,5,5,4,3,No,1.0,38.89
Trouble,Young Adult,Orange,Male,5,3,4,3,5,Yes,1.4,50.0
Darla,Mature Adult,Calico,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Portia,Kitten,Cream,Female,4,4,3,6,2,Yes,2.0999999999999996,69.44
Sasha,Mature Adult,Dilute Tortoiseshell,Female,4,5,3,3,3,No,0.8999999999999999,36.11
Sprinkles,Kitten,Black and White,Female,5,3,4,5,2,Yes,2.3,75.0
Oreo,Mature Adult,Black and White,Female,4,3,3,4,4,Yes,1.5,52.78
