Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted Prediction
Winter,Mature Adult,Gray and White,Female,5,2,8,8,5,
Aurora,Senior,Chocolate and White,Female,4,4,4,7,6,
Pumpkin,Senior,Chocolate Tabby,Female,3,2,2,6,3,
Buccatini,Young Adult,Chocolate and White,Male,4,6,5,6,7,
Buccatini,Young Adult,Chocolate Tabby,Male,6,1,4,5,3,
Misty,Kitten,Dilute Tortoiseshell,Female,2,3,5,7,5,
Cordelia,Young Adult,Dilute Torbie,Female,7,3,4,4,1,
Ivy,Senior,Orange and White,Female,2,6,7,3,5,
Kimchi,Senior,Chocolate and White,Male,6,5,5,5,1,
Gimli,Young Adult,Chocolate Tabby,Male,5,5,3,2,4,
Fergus,Kitten,Gray Tabby,Male,1,5,4,8,3,
Sprinkles,Kitten,Chocolate,Female,8,1,3,5,2,
Eden,Mature Adult,Fawn,Female,3,1,6,9,1,
Mordin,Senior,Black and White,Male,3,1,3,6,3,
Kasumi,Senior,Lilac Tortoiseshell,Female,5,1,6,10,3,
Stella,Young Adult,Silver Tabby,Female,8,4,5,5,5,
Macaroni,Senior,Chocolate,Male,3,4,4,4,4,
Lilo,Young Adult,Cream Tabby,Female,6,1,4,2,2,
Nacho,Kitten,Orange and White,Male,7,4,6,5,1,
Avery,Young Adult,Red Tabby,Female,5,1,3,3,2,
Anders,Senior,Black and White,Male,5,8,2,4,4,
Remi,Kitten,Brown and White Tabby,Male,3,5,5,7,2,
Morrigan,Mature Adult,Lilac Tortoiseshell,Female,5,1,7,4,1,
Sylphrena,Mature Adult,Cream,Female,1,5,6,6,2,
Izzy,Kitten,Dilute Torbie,Female,6,3,2,9,6,
Sam,Kitten,Gray and White,Male,5,2,2,1,5,
Bella,Senior,Chocolate Tabby,Female,6,3,6,3,7,
Flemeth,Senior,White,Female,7,5,6,5,5,
Ivy,Kitten,Red,Female,1,3,4,7,5,
Duchess,Young Adult,Black,Female,7,2,4,5,5,
Matty,Kitten,Cinnamon,Male,8,3,4,7,3,
Cricket,Mature Adult,Red,Male,4,4,5,3,1,
Cosmo,Young Adult,Gray Tabby,Male,6,1,3,4,9,
Zelda,Kitten,Dilute Calico,Female,3,5,7,6,5,
Rick,Mature Adult,Chocolate and White,Male,6,1,7,4,7,
Trouble,Mature Adult,Lilac,Male,4,2,6,5,1,
Chester,Young Adult,Fawn,Male,5,3,2,4,6,
Tater,Young Adult,Red,Male,3,2,6,6,5,
Jinx,Young Adult,Gray,Male,6,3,4,6,4,
Lexi,Young Adult,Chocolate and White,Female,4,1,4,7,3,
Zoe,Senior,Red,Female,7,5,6,7,5,
Ivy,Mature Adult,Dilute Calico,Female,2,4,5,5,8,
Mordin,Senior,Cream Tabby,Male,3,3,5,3,1,
Remi,Young Adult,Orange and White,Male,5,4,4,6,5,
Suki,Mature Adult,Fawn,Female,6,3,6,3,4,
Lucy,Mature Adult,Orange,Female,5,5,5,6,5,
Pistachio,Kitten,Dilute Calico,Female,5,1,7,5,4,
Kona,Mature Adult,Red,Male,5,2,5,2,3,
Galadriel,Kitten,Tortoiseshell,Female,6,1,7,7,6,
August,Senior,Cream Tabby,Male,7,1,7,7,4,
Olive,Young Adult,Lilac Tortoiseshell,Female,6,1,7,10,4,
Winter,Senior,Lilac,Male,3,3,3,5,1,
Freya,Senior,Red,Female,7,3,4,6,2,
Ozzy,Young Adult,Lilac,Male,4,4,3,3,2,
Wilson,Mature Adult,Lilac,Male,3,1,7,7,2,
Oliver,Kitten,Cream,Male,5,3,1,3,5,
Morty,Senior,Chocolate,Male,4,5,7,5,2,
Zevran,Young Adult,Gray and White Tabby,Male,8,5,5,4,2,
Latte,Senior,Chocolate,Male,3,4,3,4,4,
Chester,Mature Adult,Silver Tabby,Male,5,1,7,4,3,
Beau,Young Adult,Chocolate,Male,6,2,3,1,5,
Jinx,Young Adult,Dilute Torbie,Female,4,1,4,5,4,
Austin,Young Adult,Chocolate and White,Male,8,2,4,6,4,
Leo,Senior,White,Male,2,2,4,5,2,
Avery,Mature Adult,Calico,Female,4,3,3,5,1,
Katrina,Young Adult,Orange and White,Female,3,1,1,6,7,
Leo,Senior,Orange,Male,6,1,4,4,4,
Morrigan,Young Adult,Brown and White Tabby,Female,1,2,1,6,5,
Neil,Kitten,Cream Tabby,Male,4,2,5,7,1,
Zevran,Kitten,Black and White,Male,5,3,3,6,5,
Atticus,Senior,Gray Tabby,Male,6,4,6,6,5,
Sylvanas,Senior,Black,Female,6,1,5,7,5,
Neil,Mature Adult,Black,Male,3,4,6,7,3,
Xena,Senior,Fawn,Female,2,2,6,3,1,
Rasha,Mature Adult,Gray Tabby,Female,9,3,6,7,1,
Acorn,Kitten,Orange,Male,4,2,5,7,4,
Navani,Mature Adult,Dilute Torbie,Female,8,2,5,4,7,
Navani,Senior,Orange and White,Female,7,2,5,3,6,
Mochi,Kitten,Tortoiseshell,Female,3,4,5,8,1,
Chestnut,Senior,Gray,Male,8,2,1,6,6,
Biscuit,Kitten,Gray and White,Male,8,2,4,8,6,
Pi ,Kitten,Gray and White Tabby,Female,6,4,1,6,1,
Lucky,Senior,Chocolate and White,Male,7,1,4,8,2,
Galadriel,Mature Adult,Cream,Female,2,5,3,7,3,
Sam,Young Adult,Silver Tabby,Male,6,1,5,2,8,
Figaro,Mature Adult,Red Tabby,Male,5,3,5,8,3,
Ozzy,Senior,Gray and White Tabby,Male,1,2,4,4,6,
Spike,Senior,Gray and White Tabby,Male,5,4,2,8,2,
Sprinkles,Kitten,Gray Tabby,Male,5,4,6,7,3,
Tawny,Senior,Red Tabby,Female,7,4,7,7,4,
Vikki,Senior,Chocolate,Female,5,8,7,5,7,
Maximus,Senior,Cream,Male,7,2,7,4,3,
Tali,Kitten,Torbie,Female,7,3,6,4,4,
Jinx,Kitten,White,Male,5,5,6,5,7,
Lexi,Young Adult,Gray,Female,9,4,4,3,1,
Rosie,Senior,Torbie,Female,1,6,6,4,1,
Nala,Kitten,Tortoiseshell,Female,8,1,7,7,4,
Pi ,Young Adult,Cinnamon,Female,6,6,4,4,5,
Callie,Senior,Calico,Female,6,2,2,5,3,
Nibbler,Young Adult,Black and White,Male,5,4,7,6,6,
Coffee,Senior,Gray,Male,5,3,4,8,3,
Natasha,Senior,Cream Tabby,Female,4,1,3,9,4,
Pi ,Kitten,Cream Tabby,Female,7,2,6,3,4,
Jinxy,Young Adult,Chocolate,Female,4,1,5,3,4,
Jerry,Senior,Orange and White,Male,6,2,1,8,1,
Patch,Young Adult,Brown and White Tabby,Male,6,1,5,3,6,
Daisy,Young Adult,Chocolate,Female,2,6,6,8,2,
Muffin,Kitten,Red Tabby,Female,6,2,3,4,2,
Calliope,Senior,Silver Tabby,Female,3,1,3,7,5,
Oreo,Mature Adult,White,Male,3,4,6,7,3,
Maximus,Young Adult,Red,Male,9,1,6,9,3,
Blossom,Senior,Silver Tabby,Female,5,3,5,9,5,
Oreo,Kitten,Cream Tabby,Female,7,1,4,7,3,
Clawde,Mature Adult,Red,Male,6,5,3,7,1,
Boots,Senior,Lilac,Male,3,1,5,6,5,
Murphy,Senior,Fawn,Male,8,3,2,5,8,
Cordelia,Mature Adult,Gray and White Tabby,Female,2,2,6,4,4,
Hunter,Senior,Gray and White,Male,6,3,6,5,1,
Enzo,Kitten,White,Male,5,1,6,5,7,
Figaro,Senior,Cinnamon,Male,6,4,6,5,5,
Jinx,Mature Adult,Orange and White,Male,2,1,6,7,2,
Hattie,Young Adult,Gray and White Tabby,Female,6,5,4,6,1,
Callie,Kitten,Cinnamon,Female,1,1,6,4,4,
Aurora,Senior,White,Female,8,5,5,3,6,
Athena,Senior,Chocolate Tabby,Female,4,2,1,4,4,
Cordelia,Mature Adult,White,Female,10,4,5,6,4,
Spike,Kitten,Lilac,Male,4,7,5,7,2,
Sprinkles,Senior,Gray and White Tabby,Female,5,3,3,7,6,
Max,Mature Adult,Black and White,Male,7,3,3,7,4,
Cas,Mature Adult,Lilac,Male,6,1,4,5,4,
Tasha,Kitten,Dilute Calico,Female,1,3,7,9,3,
Izzy,Young Adult,Torbie,Female,1,1,4,6,1,
Evie,Kitten,Gray and White Tabby,Female,7,2,3,5,2,
Hunter,Senior,Silver Tabby,Male,6,1,3,8,1,
Nova,Young Adult,Dilute Tortoiseshell,Female,5,1,2,6,4,
Max,Senior,Chocolate Tabby,Male,5,2,5,8,2,
Maddy,Senior,Chocolate and White,Female,1,1,2,9,1,
Loki,Young Adult,Orange and White,Male,2,2,1,7,4,
Helios,Young Adult,Fawn,Male,6,1,7,4,3,
Zeke,Kitten,Chocolate,Male,2,3,7,5,3,
Sprinkles,Kitten,Cream,Female,6,1,5,6,1,
Lexi,Senior,Cream Tabby,Female,2,1,4,3,4,
Jasper,Senior,Gray,Male,4,5,3,7,1,
Maddy,Mature Adult,Torbie,Female,5,5,6,5,1,
Garrus,Young Adult,Gray Tabby,Male,2,1,7,10,2,
Gabe,Senior,Orange,Male,6,2,4,4,2,
Zevran,Young Adult,Chocolate,Male,6,1,3,5,1,
Chestnut,Kitten,Chocolate and White,Male,3,3,4,7,4,
Oreo,Young Adult,Cream,Male,3,2,4,9,2,
Oreo,Senior,Red Tabby,Female,2,2,2,4,4,
Morrigan,Senior,Fawn,Female,5,2,7,5,4,
Delfina,Kitten,Dilute Calico,Female,8,4,4,4,3,
Soju,Mature Adult,Red Tabby,Male,5,2,1,7,3,
Wanda,Mature Adult,Red,Female,6,2,6,6,4,
Bagel,Kitten,Orange,Male,3,2,6,5,6,
Petunia,Mature Adult,Orange,Female,5,4,7,6,1,
Rogue,Young Adult,Calico,Female,6,4,5,4,2,
Spike,Young Adult,Black,Male,7,3,6,7,3,
Galadriel,Senior,Lilac,Female,3,3,2,7,6,
Peaches,Senior,Chocolate,Female,4,1,7,7,3,
Atlas,Mature Adult,Orange,Male,3,8,6,6,3,
Sassy,Senior,Gray and White Tabby,Female,3,4,3,6,6,
Gizmo,Kitten,Gray Tabby,Female,4,3,1,6,2,
Wit,Young Adult,Lilac,Male,5,1,4,6,1,
Lilo,Kitten,Lilac Tortoiseshell,Female,4,3,1,6,1,
Smokey,Young Adult,Gray and White Tabby,Male,9,2,8,4,4,
Cosmo,Kitten,Fawn,Male,7,5,7,4,4,
Lilo,Kitten,Cream,Female,4,1,4,9,2,
Cricket,Mature Adult,Gray and White,Male,7,3,3,7,8,
Snickers,Senior,Red,Female,5,2,6,8,6,
Dante,Kitten,Red,Male,10,2,8,2,1,
Bast,Kitten,Chocolate and White,Female,1,4,5,3,5,
Dante,Senior,Gray Tabby,Male,5,2,2,5,1,
Dalinar,Young Adult,White,Male,6,1,2,7,2,
Latte,Young Adult,Gray and White,Male,7,5,4,4,5,
Darla,Senior,Chocolate Tabby,Female,3,1,6,5,6,
Xena,Young Adult,Chocolate and White,Female,8,7,5,5,4,
Rick,Young Adult,Chocolate Tabby,Male,4,1,5,8,2,
Sprinkles,Senior,White,Male,4,3,5,7,1,
Reptar,Senior,Chocolate,Male,3,1,5,9,4,
Remi,Senior,Red Tabby,Male,4,3,4,3,6,
Muffin,Senior,Cream,Female,1,4,5,8,5,
Minerva,Senior,Black and White,Female,4,1,6,2,2,
Evie,Senior,White,Female,5,4,8,5,4,
Poppy,Kitten,Torbie,Female,5,2,6,7,4,
Agnes,Kitten,Dilute Calico,Female,1,1,2,5,7,
Felix,Young Adult,Black and White,Male,6,1,6,7,3,
Arthas,Kitten,Orange,Male,7,2,5,4,3,
Mufasa,Young Adult,Orange and White,Male,5,4,8,7,4,
Missy,Kitten,Black and White,Female,5,1,4,4,2,
Maisy,Kitten,Orange,Female,3,1,6,2,1,
Neil,Young Adult,Cream Tabby,Male,1,1,8,7,1,
Nico,Young Adult,Red Tabby,Male,6,3,6,6,2,
Nova,Senior,Tortoiseshell,Female,1,5,8,5,1,
Mika,Mature Adult,White,Male,6,6,6,5,4,
Latte,Young Adult,Gray and White,Male,4,8,4,10,3,
Alistair,Mature Adult,Red Tabby,Male,3,2,2,4,5,
Kimchi,Young Adult,Black and White,Male,4,2,1,4,1,
Snickers,Kitten,Chocolate and White,Female,7,1,3,6,4,
Ruby,Young Adult,Gray and White,Female,4,6,6,7,4,
Aloy,Young Adult,Gray,Female,6,3,4,4,5,
Nila,Senior,Fawn,Female,4,4,3,6,5,
Chai,Kitten,Silver Tabby,Female,7,1,5,1,4,
Helios,Young Adult,Black and White,Male,6,1,8,10,3,
Jasper,Mature Adult,Cream Tabby,Male,4,1,2,10,8,
Pi ,Senior,Red,Female,1,5,5,3,3,
Ozzy,Mature Adult,Chocolate Tabby,Male,6,1,1,6,3,
Trouble,Senior,Black,Male,3,2,6,7,1,
Snickers,Young Adult,Gray and White Tabby,Male,9,3,2,5,5,
Vesper,Young Adult,Gray,Male,3,4,4,2,1,
Pistachio,Young Adult,Tortoiseshell,Female,4,1,6,8,6,
Mochi,Kitten,Cinnamon,Female,5,3,7,4,2,
Pistachio,Senior,Tortoiseshell,Female,5,4,5,4,3,
Bella,Mature Adult,Dilute Tortoiseshell,Female,2,2,4,7,2,
Pancake,Mature Adult,Chocolate Tabby,Female,5,5,8,7,2,
Simba,Mature Adult,Black,Male,8,3,2,8,4,
Acorn,Kitten,Gray Tabby,Male,5,3,5,9,7,
Nila,Mature Adult,Red Tabby,Female,5,3,2,7,5,
Reptar,Senior,Orange and White,Male,4,1,4,3,3,
Tulip,Mature Adult,Red Tabby,Female,6,2,4,6,1,
Beau,Young Adult,White,Male,6,8,5,3,2,
Cricket,Young Adult,Chocolate,Male,1,1,6,5,1,
Boots,Senior,Black and White,Male,4,3,3,4,6,
Lilith,Mature Adult,Tortoiseshell,Female,7,3,4,6,4,
Olive,Senior,Chocolate,Female,3,5,5,5,1,
Avery,Mature Adult,Red Tabby,Female,7,1,3,5,3,
Wit,Senior,Gray Tabby,Male,4,5,5,5,1,
Nova,Mature Adult,Red,Female,3,2,7,4,5,
Merlin,Senior,Gray Tabby,Male,5,1,5,4,5,
Kodi,Young Adult,Cinnamon,Male,1,1,8,4,9,
Piper,Senior,Dilute Calico,Female,6,3,3,10,2,
Ozzy,Kitten,Red,Male,3,2,4,5,4,
Anna,Senior,Black,Female,7,3,5,4,4,
Cash,Kitten,Red Tabby,Male,6,4,4,4,6,
Ozzy,Young Adult,White,Male,7,3,6,9,3,
Atticus,Senior,Lilac,Male,5,1,1,5,8,
Gilly,Young Adult,Silver Tabby,Female,3,1,5,6,2,
Blossom,Young Adult,Red Tabby,Female,2,1,6,4,3,
Kiwi,Young Adult,Gray,Female,6,1,6,7,2,
Felix,Mature Adult,Red,Male,6,6,4,5,7,
Mittens,Senior,Gray,Male,5,5,4,6,4,
Atlas,Senior,Orange and White,Male,5,1,6,6,4,
Sheba,Young Adult,Cream Tabby,Female,7,5,5,4,5,
Matty,Mature Adult,Chocolate and White,Male,2,3,3,6,4,
Mittens,Senior,Chocolate,Male,4,3,1,6,2,
Arthas,Young Adult,Gray and White,Male,4,1,6,5,6,
Nico,Kitten,Brown and White Tabby,Male,10,1,3,4,4,
Oreo,Senior,Dilute Calico,Female,1,1,9,4,4,
Ruby,Senior,Cream,Female,1,2,3,4,6,
Julian,Young Adult,Cream Tabby,Male,5,1,6,9,1,
Tulip,Kitten,Chocolate,Female,2,3,5,8,6,
Meg,Kitten,Lilac,Female,5,1,4,6,2,
Furman,Mature Adult,Black and White,Male,5,3,9,7,7,
Morty,Young Adult,Cream Tabby,Male,4,4,4,4,4,
Buttercup,Kitten,Black and White,Female,1,2,6,4,1,
Ozzy,Mature Adult,Cinnamon,Male,5,5,3,1,6,
Tawny,Mature Adult,Orange,Female,2,1,3,5,4,
Lucifer,Mature Adult,Fawn,Male,4,3,7,7,8,
Nola,Senior,Cinnamon,Female,7,3,4,5,4,
Hunter,Young Adult,Cinnamon,Male,2,3,1,1,3,
Kimchi,Young Adult,Lilac,Male,7,2,1,5,5,
Acorn,Mature Adult,Gray,Male,7,5,1,7,6,
Cleocatra,Young Adult,Gray and White Tabby,Female,6,1,4,6,4,
Cash,Senior,Orange,Male,5,4,2,5,5,
Nora,Young Adult,Lilac,Female,3,4,3,9,3,
Atticus,Mature Adult,Brown and White Tabby,Male,4,5,6,7,1,
Ivy,Senior,Lilac,Female,5,2,4,6,3,
Arwen,Kitten,Cream,Female,6,6,1,4,1,
Dante,Young Adult,Gray and White Tabby,Male,6,1,8,2,7,
Cullen,Mature Adult,Chocolate and White,Male,10,1,5,6,2,
Shallan,Mature Adult,Fawn,Female,7,1,5,4,3,
Mordin,Young Adult,Gray,Male,7,6,6,4,3,
Cosmo,Senior,Cream,Male,1,5,5,7,4,
Copurrnicus,Kitten,Chocolate Tabby,Male,2,6,2,3,1,
Minerva,Kitten,Tortoiseshell,Female,9,3,2,7,7,
Persephone,Kitten,Red Tabby,Female,3,2,4,7,3,
Kiwi,Mature Adult,Lilac Tortoiseshell,Female,9,1,8,9,5,
Vikki,Senior,Brown and White Tabby,Female,2,1,5,6,1,
Taffy,Young Adult,Cream Tabby,Female,5,3,6,4,1,
Kona,Mature Adult,Black,Male,4,2,8,7,5,
Darla,Kitten,Chocolate Tabby,Female,7,4,5,3,3,
Avery,Kitten,Cinnamon,Female,4,6,2,10,1,
Chestnut,Young Adult,White,Male,8,1,4,6,4,
Atticus,Young Adult,Chocolate,Male,3,3,6,6,1,
Jasmine,Mature Adult,Red Tabby,Female,5,2,7,6,3,
Nelson,Mature Adult,Chocolate and White,Male,3,5,2,7,3,
Fiddler,Young Adult,Gray and White Tabby,Male,7,1,7,6,1,
Vikki,Kitten,Fawn,Female,6,3,1,6,5,
Cash,Kitten,Brown and White Tabby,Male,10,1,6,6,4,
Starlight,Kitten,Black,Female,5,1,5,5,8,
Fritz,Senior,Silver Tabby,Male,4,1,5,6,3,
Clawdia,Mature Adult,Brown and White Tabby,Female,8,3,5,4,1,
Jinxy,Mature Adult,Lilac,Female,7,4,2,4,3,
Mordin,Young Adult,Gray and White Tabby,Male,7,1,10,5,4,
Zoe,Kitten,Dilute Tortoiseshell,Female,5,1,4,6,4,
Nora,Young Adult,Silver Tabby,Female,3,4,1,6,3,
Nero,Senior,Lilac,Male,3,3,2,3,2,
Merlin,Kitten,Gray,Male,6,3,2,5,4,
Ruby,Senior,Gray Tabby,Female,3,1,9,7,5,
Bella,Kitten,Cinnamon,Female,6,5,6,5,3,
Merlin,Mature Adult,Gray Tabby,Male,5,4,8,5,1,
Simba,Young Adult,Brown and White Tabby,Male,6,4,3,5,3,
Muffin,Senior,Dilute Tortoiseshell,Female,5,1,2,4,5,
Loki,Mature Adult,Silver Tabby,Male,3,3,2,8,5,
Neo,Young Adult,Red,Male,2,1,1,4,4,
Dalinar,Senior,Fawn,Male,4,1,5,4,5,
Rogue,Young Adult,Dilute Calico,Female,5,5,6,6,6,
Avi,Kitten,Cinnamon,Male,5,7,5,5,7,
Aloy,Senior,Cream Tabby,Female,5,1,4,6,5,
Jerry,Senior,Black,Male,2,2,2,8,1,
Millie,Kitten,Gray,Female,5,2,1,8,5,
Daisy,Mature Adult,Gray and White,Female,6,2,4,5,5,
Mika,Kitten,Orange and White,Male,3,1,5,1,6,
Molly,Kitten,Chocolate Tabby,Female,6,1,6,7,4,
Nikki,Kitten,White,Female,5,1,1,8,7,
Linguine,Kitten,Orange and White,Male,9,4,2,6,6,
Maximus,Senior,Black and White,Male,4,2,3,7,3,
Gypsy,Young Adult,Tortoiseshell,Female,5,1,5,7,1,
Beau,Young Adult,Chocolate Tabby,Male,3,4,3,6,2,
Sprinkles,Mature Adult,Silver Tabby,Male,2,1,3,7,1,
Jinx,Senior,Silver Tabby,Female,2,1,5,10,2,
Mochi,Young Adult,Fawn,Female,4,1,6,5,4,
Gypsy,Kitten,Gray and White Tabby,Female,4,2,6,4,1,
Fritz,Senior,Lilac,Male,7,2,3,7,5,
Bitsy,Mature Adult,Tortoiseshell,Female,3,4,6,6,3,
Nala,Senior,Lilac,Female,2,1,6,4,3,
Evie,Young Adult,White,Female,7,1,7,6,8,
Daisy,Young Adult,Orange and White,Female,1,4,4,5,2,
Betsy,Young Adult,Orange,Female,6,1,4,5,5,
Romeo,Kitten,Gray Tabby,Male,5,4,1,7,3,
Millie,Senior,Tortoiseshell,Female,3,2,5,6,5,
Maddy,Young Adult,Lilac Tortoiseshell,Female,4,3,5,7,4,
Marshmallow,Senior,Cream,Female,4,5,1,2,3,
Remi,Young Adult,Cream,Male,5,4,5,3,5,
Kona,Kitten,Silver Tabby,Male,4,1,4,9,3,
Peanut,Young Adult,Tortoiseshell,Female,1,2,4,6,3,
Morty,Young Adult,Orange,Male,4,2,2,6,2,
Oliver,Young Adult,Red,Male,7,2,3,8,4,
Jerry,Kitten,Cinnamon,Male,7,3,7,4,3,
Cordelia,Young Adult,Gray,Female,3,3,7,4,4,
Avery,Young Adult,Dilute Tortoiseshell,Female,5,3,4,4,8,
Minerva,Mature Adult,Red,Female,5,3,8,4,1,
Persephone,Young Adult,Lilac Tortoiseshell,Female,6,4,5,4,1,
Atticus,Mature Adult,Cream Tabby,Male,3,3,4,8,2,
Jinxy,Kitten,Gray,Female,4,5,1,6,4,
Rico,Senior,Chocolate and White,Male,4,7,5,3,5,
Clawdia,Young Adult,Lilac,Female,1,1,7,3,1,
Tulip,Senior,Lilac Tortoiseshell,Female,7,2,5,6,3,
Anna,Kitten,Lilac Tortoiseshell,Female,2,5,6,4,4,
Sylphrena,Young Adult,Red Tabby,Female,3,1,2,7,2,
Mischief,Young Adult,Dilute Calico,Female,3,4,3,6,2,
Kitty,Kitten,Red,Female,3,4,4,8,6,
Matcha,Senior,Silver Tabby,Female,5,2,3,6,4,
Kaladin,Senior,Brown and White Tabby,Male,4,5,3,9,6,
Norbert,Young Adult,Orange,Male,7,1,6,7,5,
Binx,Senior,Gray and White,Male,5,1,2,4,1,
Rick,Young Adult,Silver Tabby,Male,6,3,5,7,6,
Morrigan,Young Adult,Tortoiseshell,Female,1,1,5,6,6,
Sushi,Mature Adult,Red Tabby,Male,3,1,3,4,5,
Orion,Mature Adult,Chocolate Tabby,Male,3,2,7,1,4,
Cash,Senior,Black and White,Male,6,2,7,8,4,
Peanut,Young Adult,Orange,Female,4,2,3,2,3,
Atlas,Mature Adult,Cream Tabby,Male,4,4,6,6,7,
Aurora,Young Adult,Chocolate and White,Female,6,2,1,8,1,
Olive,Kitten,Cream Tabby,Female,6,5,6,7,5,
Daisy,Mature Adult,Gray and White,Female,7,3,7,3,2,
Dalinar,Young Adult,Chocolate,Male,2,1,3,7,6,
Dean,Young Adult,Gray Tabby,Male,3,3,6,8,1,
Shadow,Mature Adult,Gray and White,Male,3,1,3,3,4,
Coffee,Kitten,Red Tabby,Male,2,2,3,8,1,
Lucifer,Kitten,Chocolate,Male,5,5,2,7,2,
Orion,Kitten,Chocolate and White,Male,6,1,3,6,5,
Acorn,Mature Adult,Fawn,Male,6,4,4,2,4,
Clawde,Mature Adult,Chocolate and White,Male,5,6,7,4,5,
Chester,Senior,Cream,Male,2,2,4,6,6,
Buttercup,Senior,Chocolate and White,Female,6,3,3,2,6,
Callie,Young Adult,Chocolate and White,Female,6,3,4,5,4,
Peaches,Mature Adult,Red Tabby,Female,6,1,4,4,3,
Snickers,Young Adult,Gray and White Tabby,Male,4,2,10,4,6,
Mochi,Mature Adult,Cinnamon,Female,1,3,1,5,3,
Cleocatra,Senior,Chocolate Tabby,Female,4,1,3,7,3,
Neo,Mature Adult,Lilac,Male,3,1,6,4,3,
Mittens,Young Adult,Cream,Male,5,2,8,7,5,
Delfina,Young Adult,Dilute Tortoiseshell,Female,2,7,4,9,3,
Wilson,Mature Adult,Gray and White,Male,2,1,6,3,5,
Jinx,Senior,Black,Male,8,5,6,7,2,
Leo,Kitten,Silver Tabby,Male,5,1,5,5,5,
Sylvester,Kitten,Black and White,Male,4,1,3,4,3,
Ash,Mature Adult,Orange and White,Male,7,1,6,7,3,
Graham,Mature Adult,White,Male,6,1,3,6,4,
Chloe,Kitten,Black,Female,5,1,8,6,6,
Katrina,Mature Adult,Calico,Female,8,1,1,6,5,
Biscuit,Senior,Gray and White Tabby,Male,6,1,4,1,4,
Jasnah,Senior,Red Tabby,Female,5,6,3,3,4,
Max,Young Adult,Cream Tabby,Male,3,2,2,9,2,
Penny,Young Adult,Lilac Tortoiseshell,Female,4,1,4,5,1,
Mochi,Mature Adult,Orange,Female,7,5,7,5,5,
Morty,Mature Adult,Lilac,Male,5,3,4,4,4,
Sprinkles,Young Adult,Calico,Female,5,1,4,5,5,
Sassy,Mature Adult,Dilute Calico,Female,5,7,6,7,3,
Simba,Kitten,Red Tabby,Male,2,3,4,5,2,
Pancake,Kitten,Cream,Female,8,3,4,9,4,
Axel,Kitten,Black and White,Male,3,1,4,5,4,
Patch,Kitten,Gray and White,Male,5,1,2,3,1,
Morrigan,Kitten,Chocolate Tabby,Female,4,3,4,10,1,
Xena,Kitten,Dilute Calico,Female,4,4,4,9,9,
Matcha,Senior,White,Female,5,5,5,7,1,
Ivy,Kitten,Torbie,Female,5,3,7,7,4,
Mordin,Kitten,Gray and White Tabby,Male,7,5,3,8,6,
Jasnah,Senior,Red,Female,8,3,3,7,4,
Linguine,Mature Adult,White,Male,8,2,2,3,2,
Mischief,Kitten,Chocolate Tabby,Female,3,1,5,7,1,
Winnie,Mature Adult,Gray and White,Female,6,1,1,3,4,
Kasumi,Kitten,Tortoiseshell,Female,6,5,6,7,3,
Betsy,Kitten,Cinnamon,Female,2,4,1,3,4,
Oliver,Young Adult,Red Tabby,Male,5,4,2,6,8,
Murphy,Young Adult,Black and White,Male,6,3,9,5,1,
Alina,Mature Adult,White,Female,3,3,7,6,2,
Sasha,Mature Adult,Cream Tabby,Female,7,1,4,6,6,
Nelson,Kitten,Chocolate,Male,5,2,3,6,9,
Wilson,Young Adult,Brown and White Tabby,Male,5,5,5,8,5,
Tali,Senior,Chocolate,Female,3,4,6,8,4,
Rocky,Young Adult,Lilac,Male,5,4,5,6,5,
Figaro,Senior,Gray Tabby,Male,5,1,6,7,5,
Marshmallow,Kitten,Cream Tabby,Female,9,1,4,7,3,
Dorian,Senior,Red,Male,4,1,3,6,2,
Lilith,Mature Adult,Dilute Calico,Female,3,6,4,3,3,
Gatsby,Senior,Chocolate,Male,9,2,9,3,2,
Avi,Mature Adult,Cinnamon,Male,3,2,4,3,1,
Calypso,Young Adult,Gray and White,Female,7,1,5,4,1,
Loki,Senior,Orange and White,Male,7,3,3,6,4,
Felix,Young Adult,Lilac,Male,1,1,6,6,2,
Calypso,Mature Adult,Red Tabby,Female,2,1,6,10,4,
Daisy,Senior,Chocolate,Female,7,1,2,6,3,
Avi,Kitten,Black and White,Male,5,4,2,4,2,
Muffin,Young Adult,Dilute Calico,Female,6,2,4,6,4,
Chloe,Kitten,Lilac,Female,2,3,8,4,4,
Hendrix,Young Adult,Chocolate,Male,10,1,3,5,2,
Neil,Senior,Brown and White Tabby,Male,5,7,8,3,1,
Avery,Senior,Chocolate and White,Female,2,1,5,6,3,
Delphi,Young Adult,Gray,Female,4,1,4,4,2,
Kaladin,Young Adult,Silver Tabby,Male,3,4,6,7,2,
Nibbler,Senior,Chocolate,Male,6,2,5,3,6,
Buttercup,Senior,Dilute Torbie,Female,3,4,3,6,4,
Simba,Kitten,Red Tabby,Male,1,6,3,2,5,
Remi,Senior,Brown and White Tabby,Male,4,1,8,3,4,
Darla,Mature Adult,Fawn,Female,5,6,6,4,4,
Sylphrena,Kitten,Red,Female,4,6,6,8,3,
Princess,Senior,Gray and White Tabby,Female,6,2,4,7,4,
Mika,Kitten,White,Male,1,1,5,2,1,
Luna,Senior,Gray Tabby,Female,1,1,6,4,4,
Sushi,Kitten,Fawn,Male,5,1,5,7,6,
